scenario_id,emissionBased,sampleFraction,startDay,adlWorstCase,btcBaseRate,btcRateMultiplier,btcPositionMultiplier,btcReferenceNotional,ethBaseRate,ethRateMultiplier,ethPositionMultiplier,ethReferenceNotional,stakerPct,nTrades,nLiquidated,liqPct,finalLp,finalPaper,finalStakers,finalFrontend,traderLoss,traderWin,traderNet,lpGained,lpLost,lpMin,lpMax,totalVolume,maxOi,marginalMintRate,feesPerStakedPaper,costPerPaper,tailProgress,maxDebt,maxQueueLen,totalQueued,totalQueuePaid,queueRemaining,debtRemaining,avgQueueWait,finalBtcLp,finalEthLp,btcNTrades,ethNTrades,btcNLiq,ethNLiq,btcLiqPct,ethLiqPct,btcTraderLoss,ethTraderLoss,btcTraderWin,ethTraderWin
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d133_adl=off_emOff,False,1.0,133,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1854968,1523925,82.15,5000000.0,6044517955.8,99085491.44,1171228.46,115412790.24,10156070.34,-105256719.9,15190271.46,10156070.34,691167.29,5000000.0,134929776536.29,3911590082.12,26.4744,0.016393,0.019094,113221093.68,0.0,0,0,0,0,0.0,0,2647311.02,2386890.1,1501313,353655,1201309,322616,80.017,91.223,82054948.38,33357841.86,8215869.85,1940200.49
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d133_adl=off_emOn,True,1.0,133,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1854968,1523925,82.15,5000000.0,4659760062.76,60954118.13,736994.5,72688168.74,5997056.1,-66691112.63,11017281.74,5997056.1,691167.29,5000000.0,81394929720.55,3911590082.12,39.6811,0.013081,0.015599,70497444.61,0.0,0,0,0,0,0.0,0,2930678.57,2089547.06,1501313,353655,1201309,322616,80.017,91.223,51510255.5,21177913.24,4797732.71,1199323.4
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d133_adl=on_emOff,False,1.0,133,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1854968,1523925,82.15,5000000.0,6044517955.8,99085487.11,1171228.47,115412790.24,10156074.67,-105256715.57,15190275.79,10156074.67,691167.29,5000000.0,134929776536.29,3911590082.12,26.4744,0.016393,0.019094,113221093.68,0.0,0,0,0,0,0.0,0,2647311.02,2386890.11,1501313,353655,1201309,322616,80.017,91.223,82054948.38,33357841.86,8215869.85,1940204.82
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d133_adl=on_emOn,True,1.0,133,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1854968,1523925,82.15,5000000.0,4659760062.76,60954116.3,736994.51,72688168.74,5997057.93,-66691110.81,11017283.57,5997057.93,691167.29,5000000.0,81394929720.55,3911590082.12,39.6811,0.013081,0.015599,70497444.61,0.0,0,0,0,0,0.0,0,2930678.57,2089547.07,1501313,353655,1201309,322616,80.017,91.223,51510255.5,21177913.24,4797732.71,1199325.22
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d140_adl=off_emOff,False,1.0,140,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1776028,1455065,81.93,5000000.0,5884899584.22,93707187.97,1112453.56,109601888.65,9782247.12,-99819641.54,14815116.47,9782247.12,978400.89,5000000.0,128262963108.66,3911590082.12,27.8384,0.015923,0.018624,107435986.76,0.0,0,0,0,0,0.0,0,2672184.33,2360685.03,1444134,331894,1152457,302608,79.803,91.176,78182816.23,31419072.42,7938046.17,1844200.94
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d140_adl=off_emOn,True,1.0,140,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1776028,1455065,81.93,5000000.0,4554386216.55,58465800.21,711024.32,70106348.74,5929524.2,-64176824.53,10949445.87,5929524.2,978400.89,5000000.0,78862586801.99,3911590082.12,40.7679,0.012837,0.015393,67941338.6,0.0,0,0,0,0,0.0,0,2944070.5,2075851.16,1444134,331894,1152457,302608,79.803,91.176,49894391.48,20211957.25,4761715.93,1167808.28
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d140_adl=on_emOff,False,1.0,140,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1776028,1455065,81.93,5000000.0,5884899584.22,93707183.64,1112453.57,109601888.65,9782251.44,-99819637.21,14815120.8,9782251.44,978400.89,5000000.0,128262963108.66,3911590082.12,27.8384,0.015923,0.018624,107435986.76,0.0,0,0,0,0,0.0,0,2672184.33,2360685.04,1444134,331894,1152457,302608,79.803,91.176,78182816.23,31419072.42,7938046.17,1844205.27
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d140_adl=on_emOn,True,1.0,140,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1776028,1455065,81.93,5000000.0,4554386216.55,58465798.33,711024.32,70106348.74,5929526.08,-64176822.65,10949447.75,5929526.08,978400.89,5000000.0,78862586801.99,3911590082.12,40.7679,0.012837,0.015393,67941338.6,0.0,0,0,0,0,0.0,0,2944070.5,2075851.17,1444134,331894,1152457,302608,79.803,91.176,49894391.48,20211957.25,4761715.93,1167810.16
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d147_adl=off_emOff,False,1.0,147,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1721207,1409319,81.88,5000000.0,5780628867.6,89851501.4,1070526.98,105455336.72,9533308.34,-95922028.38,14565255.57,9533308.34,635830.27,5000000.0,123157000966.94,3911590082.12,28.9304,0.015544,0.018243,103102414.76,0.0,0,0,0,0,0.0,0,2681812.92,2350134.31,1401620,319587,1117870,291449,79.756,91.196,75413763.12,30041573.6,7732583.01,1800725.32
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d147_adl=off_emOn,True,1.0,147,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1721207,1409319,81.88,5000000.0,4492933394.22,56740780.02,693362.65,68347409.85,5913267.18,-62434142.67,10933044.28,5913267.18,635830.27,5000000.0,76799296102.93,3911590082.12,41.6254,0.012629,0.015212,65995319.2,0.0,0,0,0,0,0.0,0,2935787.45,2083989.65,1401620,319587,1117870,291449,79.756,91.196,48805191.63,19542218.21,4739908.53,1173358.65
